show_id,type,title,director,cast,date_added,release_year,rating,duration,listed_in,description,plataforma,age_category,imdbRating
s637,TV Show,Disney Randy Cunningham: 9th Grade Ninja,Desconocido,"Ben Schwartz, Andrew Caldwell, Tim Curry, John DiMaggio, Kevin Richardson, Dave Wittenberg",2020-01-15,2011,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy",Randy is an average freshman until he is chosen as The Ninja.,disney,Para niños mayores,No se encontró información para: Disney%20Randy%20Cunningham:%209th%20Grade%20Ninja
s638,TV Show,Muppet Babies Show and Tell (Shorts),Desconocido,"Matt Danner, Melanie Harrison, Ben Diskin, Eric Bauza, Dee Baker, Jessica DiCicco",2020-01-15,2017,TV-Y7,1 Season,"Animation, Kids",It's Show and Tell time in the playroom!,disney,Para niños mayores,No se encontró información para: Muppet%20Babies%20Show%20and%20Tell%20(Shorts)
s639,TV Show,The Lodge,Desconocido,"Sophie Simnett, Luke Newton, Thomas Doherty, Bethan Wright, Jayden Revri, Jade Alleyne",2020-01-15,2016,TV-G,2 Seasons,"Coming of Age, Drama, Musical",A city girl starts a new life in the country.,disney,Para todas las edades / niños pequeños,6.0
s640,TV Show,Wild Russia,Desconocido,Liam Teeling,2020-01-15,2018,TV-PG,1 Season,"Animals & Nature, Docuseries","From mountains to desert, volcanoes to ice, explore Russiaâs scenic beauty and iconic wildlife.",disney,Para niños mayores,8.2
s644,TV Show,Marvel's Runaways,Desconocido,"Rhenzy Feliz, Lyrica Okano, Virginia Gardner, Ariela Barer, Gregg Sulkin, Allegra Acosta",2020-01-10,2017,TV-14,3 Seasons,"Coming of Age, Drama, Science Fiction",Six kids learn their parents hide a terrible secret.,disney,Para adolescentes,No se encontró información para: Marvel's%20Runaways
s647,TV Show,Austin & Ally,Desconocido,"Ross Lynch, Laura Marano, Raini Rodriguez, Calum Worthy",2020-01-01,2011,TV-G,4 Seasons,"Comedy, Coming of Age, Kids","Austin, a musician, and Ally, a songwriter, form a team.",disney,Para todas las edades / niños pequeños,7.7
s648,TV Show,Billy Dilley's Super-Duper Subterranean Summer,Desconocido,"Aaron Springer, Catherine Wayne, Tom Kenny",2020-01-01,2016,TV-Y7,1 Season,"Animation, Comedy, Fantasy",Billy and his friends get stuck inside Earth's core.,disney,Para niños mayores,3.3
s664,TV Show,First Class Chefs: Family Style,Desconocido,"Gia RÃ©, Matt Tebbutt",2020-01-01,2015,TV-Y7,1 Season,"Family, Game Show / Competition",First Class Chefs: Family Style is a cooking competition for the whole family!,disney,Para niños mayores,No se encontró información para: First%20Class%20Chefs:%20Family%20Style
s669,TV Show,One Strange Rock,Desconocido,Will Smith,2020-01-01,2017,TV-PG,1 Season,"Animals & Nature, Docuseries, Family","Hosted by Will Smith, One Strange Rock reveals the twists of fate that allow life to thrive on Earth",disney,Para niños mayores,8.7
s670,TV Show,Out There with Jack Randall,Desconocido,Jack Randall,2020-01-01,2019,TV-14,1 Season,"Action-Adventure, Animals & Nature, Docuseries",Zoologist Jack Randall searches for dangerous animals in the most unforgiving environments on earth.,disney,Para adolescentes,6.0
s672,TV Show,The Proud Family,Desconocido,"Tommy Davidson, Paula Parker, Jo Payton, Kyla Pratt, Tara Strong, Karen White",2020-01-01,2001,TV-G,2 Seasons,"Animation, Comedy, Coming of Age","Follow the adventures of Penny, a typical African American girl navigating through teen-dom.",disney,Para todas las edades / niños pequeños,6.5
s673,TV Show,The Super Hero Squad,Desconocido,"Grey DeLisle, Steve Blum, Mikey Kelly, Charlie Adler, Mark Hamill, Tom Kenny",2020-01-01,2009,TV-Y7,2 Seasons,"Action-Adventure, Animation, Comedy",The greatest heroes on the planet unite to face the greatest villains in the Super Hero Squad.,disney,Para niños mayores,6.1
s674,TV Show,Year Million,Desconocido,Laurence Fishburne,2020-01-01,2016,TV-PG,1 Season,"Docuseries, Science Fiction","Explore what human life might be like, one million years into the future.",disney,Para niños mayores,7.4
s680,TV Show,Pick of the Litter,Desconocido,No Disponible,2019-12-20,2019,TV-PG,1 Season,"Animals & Nature, Docuseries, Family",Watch an adorable group of six dogs on their quest to become guides for Guide Dogs for the Blind.,disney,Para niños mayores,7.6
s685,TV Show,One Day at Disney (Shorts),Desconocido,No Disponible,2019-12-06,2019,TV-PG,1 Season,"Anthology, Docuseries, Family",Meet the diverse group of people behind some of Disneyâs most magical stories.,disney,Para niños mayores,No se encontró información para: One%20Day%20at%20Disney%20(Shorts)
s687,TV Show,Disney The Lion Guard,Desconocido,"Max Charles, Diamond White, Dusan Brown, Atticus Shaffer, Joshua Rush",2019-12-03,2015,TV-Y,3 Seasons,"Action-Adventure, Animation, Comedy",The Lion Guard has assembled and now they will DEFEND!,disney,Para todas las edades / niños pequeños,No se encontró información para: Disney%20The%20Lion%20Guard
s689,TV Show,Disney Star vs. the Forces of Evil,Desconocido,"Eden Sher, Adam McArthur",2019-12-01,2014,TV-Y7,4 Seasons,"Action-Adventure, Animation, Comedy",Star battles villains throughout the multiverse.,disney,Para niños mayores,No se encontró información para: Disney%20Star%20vs.%20the%20Forces%20of%20Evil
s692,TV Show,Henry Hugglemonster,Desconocido,"Lara Miller, Tom Kenny, Chiara Zanni, Lori Alan, Hynden Walch, Kari Wahlgren",2019-12-01,2012,TV-Y,2 Seasons,"Animation, Fantasy, Kids",Hugglemonsters always find a way!,disney,Para todas las edades / niños pequeños,5.3
